hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
0.4328,1.6006e+19,1.109775,0.1132,0.2889
0.4335,2.408441e+18,0.167281,0.1136,0.2894
0.4343,4.239382e+16,0.002949667,0.114,0.2899
0.435,1.087114e+17,0.007577164,0.1144,0.2904
0.4358,3.793696e+18,0.2648847,0.1148,0.2909
0.4366,1.82376e+16,0.001275633,0.1152,0.2914
0.4373,19683680000000.0,1.379208e-06,0.1156,0.2919
0.4381,3.589799e+17,0.02519767,0.116,0.2924
0.4389,1.611568e+16,0.0011332,0.1164,0.293
0.4397,1871001000000.0,1.317958e-07,0.1168,0.2935
0.4404,25980480000000.0,1.83335e-06,0.1172,0.294
0.4412,36245870000000.0,2.562293e-06,0.1176,0.2945
0.442,6046693000.0,4.282148e-10,0.1181,0.295
